const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,3.820422741266029e-23,RDS,[],26548-2.0,,,,,,,,Area
0.0,3.3838226362470798e-12,RDS,[],26564-2.0,,,,,,,,Area
0.0,3.921100871854595e-20,RDS,[],26579-2.0,,,,,,,,Area
0.0,0.0013874412991195177,RDS,[],26595-2.0,,,,,,,,Area
0.0,0.010634967983248228,RDS,[],26603-2.0,,,,,,,,Area
0.0,0.053666341902071014,RDS,[],26613-2.0,,,,,,,,Area
0.0,2.248263860794396e-10,RDS,[],26721-2.0,,,,,,,,Area
0.0,9.017872869744674e-06,RDS,[],26722-2.0,,,,,,,,Area
0.0,0.026529368330232,RDS,[],26723-2.0,,,,,,,,Area
0.0,0.000238116235231267,RDS,[],26724-2.0,,,,,,,,Area
0.0,0.00010754872928360262,RDS,[],26725-2.0,,,,,,,,Area
0.0,5.195013762045907e-07,RDS,[],26726-2.0,,,,,,,,Area
0.0,7.947984974070815e-06,RDS,[],26727-2.0,,,,,,,,Area
0.0,2.6648886357648537e-08,RDS,[],26728-2.0,,,,,,,,Area
0.0,2.4225240287849225e-05,RDS,[],26729-2.0,,,,,,,,Area
0.0,1.2007181680361331e-05,RDS,[],26730-2.0,,,,,,,,Area
0.0,1.2027440311764e-05,RDS,[],26731-2.0,,,,,,,,Area
0.0,0.0001245916342378239,RDS,[],26732-2.0,,,,,,,,Area
0.0,0.01309073679851053,RDS,[],26733-2.0,,,,,,,,Area
0.0,1.1685193914880993e-08,RDS,[],26734-2.0,,,,,,,,Area
0.0,0.00010646503642838626,RDS,[],26735-2.0,,,,,,,,Area
0.0,0.5245069519967217,RDS,[],26736-2.0,,,,,,,,Area
0.0,5.991842427012431e-09,RDS,[],26737-2.0,,,,,,,,Area
0.0,0.4937659699905512,RDS,[],26738-2.0,,,,,,,,Area
0.0,0.03056223054025536,RDS,[],26739-2.0,,,,,,,,Area
0.0,0.5871171899656265,RDS,[],26740-2.0,,,,,,,,Area
0.0,0.0009691520923510914,RDS,[],26741-2.0,,,,,,,,Area
0.0,3.672032564372914e-15,RDS,[],26742-2.0,,,,,,,,Area
0.0,0.013561792563658536,RDS,[],26743-2.0,,,,,,,,Area
0.0,2.0050286092752558e-12,RDS,[],26744-2.0,,,,,,,,Area
0.0,1.7981580170670867e-05,RDS,[],26745-2.0,,,,,,,,Area
0.0,4.679470846009533e-05,RDS,[],26746-2.0,,,,,,,,Area
0.0,0.0003134903098418983,RDS,[],26747-2.0,,,,,,,,Area
0.0,9.677687454981033e-07,RDS,[],26748-2.0,,,,,,,,Area
0.0,3.495879239818618e-07,RDS,[],26749-2.0,,,,,,,,Area
0.0,9.313637655521322e-06,RDS,[],26750-2.0,,,,,,,,Area
0.0,6.749193731369852e-12,RDS,[],26751-2.0,,,,,,,,Area
0.0,0.08690330707577638,RDS,[],26752-2.0,,,,,,,,Area
0.0,0.42459412521866013,RDS,[],26753-2.0,,,,,,,,Area
0.0,4.5998736081409596e-08,RDS,[],26754-2.0,,,,,,,,Area
0.0,4.3329263592254044e-11,RDS,[],26822-2.0,,,,,,,,Area
0.0,7.282871592911198e-05,RDS,[],26823-2.0,,,,,,,,Area
0.0,0.47954260977043695,RDS,[],26824-2.0,,,,,,,,Area
0.0,8.063882383395443e-05,RDS,[],26825-2.0,,,,,,,,Area
0.0,5.6193821314831895e-06,RDS,[],26826-2.0,,,,,,,,Area
0.0,4.757692981698352e-10,RDS,[],26827-2.0,,,,,,,,Area
0.0,4.690479482033879e-06,RDS,[],26828-2.0,,,,,,,,Area
0.0,4.5747009013971936e-11,RDS,[],26829-2.0,,,,,,,,Area
0.0,1.1903675693436231e-06,RDS,[],26830-2.0,,,,,,,,Area
0.0,3.307178674247936e-06,RDS,[],26831-2.0,,,,,,,,Area
0.0,2.800741069991806e-05,RDS,[],26832-2.0,,,,,,,,Area
0.0,0.000256285717666059,RDS,[],26833-2.0,,,,,,,,Area
0.0,0.008788794041090764,RDS,[],26834-2.0,,,,,,,,Area
