const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,1.69881363094547e-08,RDS,[],26755-2.0,,,,,,,,Thickness
0.0,0.0356778786875451,RDS,[],26756-2.0,,,,,,,,Thickness
0.0,0.14050058763173184,RDS,[],26757-2.0,,,,,,,,Thickness
0.0,1.5606934924796327e-09,RDS,[],26758-2.0,,,,,,,,Thickness
0.0,0.01091278788260036,RDS,[],26759-2.0,,,,,,,,Thickness
0.0,0.9999942595093698,RDS,[],26760-2.0,,,,,,,,Thickness
0.0,0.09056077940035451,RDS,[],26761-2.0,,,,,,,,Thickness
0.0,2.348915881184809e-16,RDS,[],26762-2.0,,,,,,,,Thickness
0.0,0.4164368866761613,RDS,[],26763-2.0,,,,,,,,Thickness
0.0,0.01585131725730143,RDS,[],26764-2.0,,,,,,,,Thickness
0.0,3.0408321878245085e-09,RDS,[],26765-2.0,,,,,,,,Thickness
0.0,0.9808545226580694,RDS,[],26766-2.0,,,,,,,,Thickness
0.0,3.37594914256453e-05,RDS,[],26767-2.0,,,,,,,,Thickness
0.0,0.012699733030754501,RDS,[],26768-2.0,,,,,,,,Thickness
0.0,0.6585082896850147,RDS,[],26769-2.0,,,,,,,,Thickness
0.0,0.9608395297264911,RDS,[],26770-2.0,,,,,,,,Thickness
0.0,9.847461443227316e-07,RDS,[],26771-2.0,,,,,,,,Thickness
0.0,0.03535241824127409,RDS,[],26772-2.0,,,,,,,,Thickness
0.0,0.00012318110662669018,RDS,[],26773-2.0,,,,,,,,Thickness
0.0,1.8749682025169585e-06,RDS,[],26774-2.0,,,,,,,,Thickness
0.0,0.012328101131213423,RDS,[],26775-2.0,,,,,,,,Thickness
0.0,1.0150695053216914e-14,RDS,[],26776-2.0,,,,,,,,Thickness
0.0,0.569209610241062,RDS,[],26777-2.0,,,,,,,,Thickness
0.0,2.8119374381877865e-07,RDS,[],26778-2.0,,,,,,,,Thickness
0.0,2.2005274295333782e-08,RDS,[],26779-2.0,,,,,,,,Thickness
0.0,0.7857540561283807,RDS,[],26780-2.0,,,,,,,,Thickness
0.0,2.1352948566296405e-11,RDS,[],26781-2.0,,,,,,,,Thickness
0.0,9.000069972413004e-15,RDS,[],26782-2.0,,,,,,,,Thickness
0.0,2.5199501788310998e-17,RDS,[],26783-2.0,,,,,,,,Thickness
0.0,0.007245217803129669,RDS,[],26784-2.0,,,,,,,,Thickness
0.0,1.9034011689608945e-12,RDS,[],26785-2.0,,,,,,,,Thickness
0.0,3.5626827938992255e-05,RDS,[],26786-2.0,,,,,,,,Thickness
0.0,0.05529512087311386,RDS,[],26787-2.0,,,,,,,,Thickness
0.0,0.00030780183212056816,RDS,[],26788-2.0,,,,,,,,Thickness
0.0,5.8855079097566495e-12,RDS,[],26856-2.0,,,,,,,,Thickness
0.0,8.753018458116207e-05,RDS,[],26857-2.0,,,,,,,,Thickness
0.0,0.7399022940798805,RDS,[],26858-2.0,,,,,,,,Thickness
0.0,1.0116136490777587e-09,RDS,[],26859-2.0,,,,,,,,Thickness
0.0,0.22492537170040838,RDS,[],26860-2.0,,,,,,,,Thickness
0.0,0.31846170536302965,RDS,[],26861-2.0,,,,,,,,Thickness
0.0,2.004897046710126e-05,RDS,[],26862-2.0,,,,,,,,Thickness
0.0,4.1210607265576603e-16,RDS,[],26863-2.0,,,,,,,,Thickness
0.0,0.11187241854032909,RDS,[],26864-2.0,,,,,,,,Thickness
0.0,4.457599436740831e-06,RDS,[],26865-2.0,,,,,,,,Thickness
0.0,1.0070280209577957e-07,RDS,[],26866-2.0,,,,,,,,Thickness
