const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,4.0226420677959395e-19,RDS,[],25000-2.0,,,,,,,,Volume
0.0,2.5017450639618386e-50,RDS,[],25001-2.0,,,,,,,,Volume
0.0,0.17366539427253247,RDS,[],25002-2.0,,,,,,,,Volume
0.0,1.755548870636751e-33,RDS,[],25003-2.0,,,,,,,,Volume
0.0,7.839204545781409e-38,RDS,[],25004-2.0,,,,,,,,Volume
0.0,2.5122672905188818e-51,RDS,[],25005-2.0,,,,,,,,Volume
0.0,0.5117045295787499,RDS,[],25006-2.0,,,,,,,,Volume
0.0,5.608804072934248e-20,RDS,[],25007-2.0,,,,,,,,Volume
0.0,0.0041468528350327395,RDS,[],25008-2.0,,,,,,,,Volume
0.0,2.773160112023269e-51,RDS,[],25009-2.0,,,,,,,,Volume
0.0,0.2068635174731408,RDS,[],25010-2.0,,,,,,,,Volume
0.0,0.7372671788115708,RDS,[],25011-2.0,,,,,,,,Volume
0.0,0.5974446979314596,RDS,[],25012-2.0,,,,,,,,Volume
0.0,0.7176900689661654,RDS,[],25013-2.0,,,,,,,,Volume
0.0,0.398034312962251,RDS,[],25014-2.0,,,,,,,,Volume
0.0,0.4631405184191445,RDS,[],25015-2.0,,,,,,,,Volume
0.0,0.7189802635880985,RDS,[],25016-2.0,,,,,,,,Volume
0.0,0.0017080840271028,RDS,[],25017-2.0,,,,,,,,Volume
0.0,0.1277584648851859,RDS,[],25018-2.0,,,,,,,,Volume
0.0,0.023258205315142926,RDS,[],25019-2.0,,,,,,,,Volume
0.0,0.6570288653892888,RDS,[],25020-2.0,,,,,,,,Volume
0.0,2.728312921726355e-06,RDS,[],25021-2.0,,,,,,,,Volume
0.0,0.0003040261616777672,RDS,[],25022-2.0,,,,,,,,Volume
0.0,0.0008045913086295669,RDS,[],25023-2.0,,,,,,,,Volume
0.0,6.017828222379512e-06,RDS,[],25024-2.0,,,,,,,,Volume
0.0,8.301372386620412e-12,RDS,[],25025-2.0,,,,,,,,Volume
0.0,0.5206564382514376,RDS,[],25782-2.0,,,,,,,,Volume
0.0,0.6106634750503652,RDS,[],25783-2.0,,,,,,,,Volume
0.0,0.0007171306141835481,RDS,[],25784-2.0,,,,,,,,Volume
0.0,0.00022152486683722831,RDS,[],25785-2.0,,,,,,,,Volume
0.0,0.6709040961883141,RDS,[],25786-2.0,,,,,,,,Volume
0.0,0.8041891044365552,RDS,[],25787-2.0,,,,,,,,Volume
0.0,0.08873927040543685,RDS,[],25788-2.0,,,,,,,,Volume
0.0,0.2573033548526308,RDS,[],25789-2.0,,,,,,,,Volume
0.0,2.5202234699189842e-05,RDS,[],25790-2.0,,,,,,,,Volume
0.0,0.008695287515545389,RDS,[],25791-2.0,,,,,,,,Volume
0.0,0.00011092099750120409,RDS,[],25792-2.0,,,,,,,,Volume
0.0,0.02275085710647035,RDS,[],25793-2.0,,,,,,,,Volume
0.0,0.8221400342575116,RDS,[],25794-2.0,,,,,,,,Volume
0.0,0.9512845016798814,RDS,[],25795-2.0,,,,,,,,Volume
0.0,0.22712610233640418,RDS,[],25796-2.0,,,,,,,,Volume
0.0,0.19000044685169126,RDS,[],25797-2.0,,,,,,,,Volume
0.0,0.029581772000081785,RDS,[],25798-2.0,,,,,,,,Volume
0.0,0.21453583220945893,RDS,[],25799-2.0,,,,,,,,Volume
0.0,0.04702622294471376,RDS,[],25800-2.0,,,,,,,,Volume
0.0,0.04584909557805879,RDS,[],25801-2.0,,,,,,,,Volume
